Plant_part,Inclusion_level,Initial_RBC,Final_RBC
1,1,2.69,2.63
1,1,2.6,2.48
1,1,2.7,2.65
1,1,2.66,2.7
1,1,2.8,2.69
1,1,2.41,2.49
1,1,2.29,2.4
1,1,2.52,2.62
1,1,2.38,2.45
1,1,2.44,2.52
1,1,2.48,2.36
1,1,2.39,2.23
1,1,2.5,2.34
1,1,2.61,2.57
1,1,2.42,2.31
1,2,2.35,2.46
1,2,2.18,2.28
1,2,2.3,2.5
1,2,2.5,2.61
1,2,2.42,2.45
1,2,2.64,2.37
1,2,2.5,1.98
1,2,2.76,2.45
1,2,2.84,2.53
1,2,2.48,2.32
1,2,2.51,2.3
1,2,2.36,2.16
1,2,2.62,2.34
1,2,2.5,2.41
1,2,2.56,2.29
1,3,2.55,2.62
1,3,2.4,2.45
1,3,2.81,2.78
1,3,2.34,2.42
1,3,2.66,2.71
1,3,2.63,2.35
1,3,2.5,2.08
1,3,2.7,2.39
1,3,2.6,2.41
1,3,2.72,2.52
1,3,2.49,2.39
1,3,2.5,2.26
1,3,2.6,2.44
1,3,2.4,2.5
1,3,2.46,2.37
1,4,2.52,3.11
1,4,2.58,3.52
1,4,2.4,3.14
1,4,2.5,3.21
1,4,2.6,3.23
1,4,2.55,2.52
1,4,2.72,2.68
1,4,2.36,2.39
1,4,2.61,2.56
1,4,2.52,2.43
1,4,2.49,2.34
1,4,2.36,2.12
1,4,2.53,2.39
1,4,2.46,2.42
1,4,2.61,2.5
2,1,2.69,2.63
2,1,2.6,2.48
2,1,2.7,2.65
2,1,2.66,2.7
2,1,2.8,2.69
2,1,2.41,2.49
2,1,2.29,2.4
2,1,2.52,2.62
2,1,2.38,2.45
2,1,2.44,2.52
2,1,2.48,2.36
2,1,2.39,2.23
2,1,2.5,2.34
2,1,2.61,2.57
2,1,2.42,2.31
2,2,2.96,3.06
2,2,3,3.12
2,2,2.7,2.82
2,2,3.04,3.1
2,2,3.1,3.05
2,2,2.72,2.76
2,2,2.84,2.91
2,2,2.78,2.83
2,2,2.55,2.6
2,2,2.71,2.72
2,2,2.44,2.35
2,2,2.56,2.48
2,2,2.3,2.21
2,2,2.5,2.42
2,2,2.4,2.32
2,3,2.63,2.71
2,3,2.5,2.52
2,3,2.72,2.84
2,3,2.58,2.73
2,3,2.72,2.76
2,3,2.54,2.67
2,3,2.4,2.51
2,3,2.75,2.86
2,3,2.56,2.7
2,3,2.45,2.62
2,3,2.65,2.49
2,3,2.58,2.47
2,3,2.81,2.62
2,3,2.7,2.51
2,3,2.46,2.38
2,4,3.19,2.24
2,4,2.87,2.11
2,4,3.3,2.35
2,4,3.28,2.18
2,4,3.31,2.33
2,4,2.87,2.18
2,4,2.69,2.03
2,4,2.9,2.21
2,4,3.04,2.35
2,4,2.85,2.13
2,4,2.64,2.27
2,4,2.8,2.47
2,4,2.56,2.31
2,4,2.5,2.11
2,4,2.7,2.19
3,1,2.69,2.63
3,1,2.6,2.48
3,1,2.7,2.65
3,1,2.66,2.7
3,1,2.8,2.69
3,1,2.41,2.49
3,1,2.29,2.4
3,1,2.52,2.62
3,1,2.38,2.45
3,1,2.44,2.52
3,1,2.48,2.36
3,1,2.39,2.23
3,1,2.5,2.34
3,1,2.61,2.57
3,1,2.42,2.31
3,2,2.75,3.12
3,2,2.9,3.26
3,2,2.63,2.84
3,2,2.82,3.21
3,2,2.65,3.16
3,2,2.71,3.04
3,2,2.62,2.89
3,2,2.74,3.11
3,2,2.8,3.2
3,2,2.68,2.85
3,2,2.82,2.78
3,2,2.7,2.63
3,2,2.88,2.81
3,2,2.8,2.75
3,2,2.9,2.92
3,3,2.79,2.59
3,3,2.72,2.5
3,3,2.83,2.56
3,3,2.76,2.6
3,3,2.85,2.7
3,3,2.63,2.64
3,3,2.45,2.51
3,3,2.6,2.62
3,3,2.77,2.76
3,3,2.7,2.71
3,3,2.88,2.76
3,3,2.94,2.83
3,3,2.7,2.55
3,3,3.02,2.91
3,3,2.86,2.73
3,4,2.58,2.54
3,4,2.52,2.49
3,4,2.73,2.65
3,4,2.45,2.38
3,4,2.64,2.61
3,4,2.61,2.61
3,4,2.7,2.68
3,4,2.63,2.64
3,4,2.54,2.56
3,4,2.57,2.63
3,4,2.49,2.66
3,4,2.61,2.83
3,4,2.45,2.69
3,4,2.2,2.33
3,4,2.7,2.78
