Plantpart,Inclusionlevel,PCV,Platelet,WBC,RBC
1,1,39.1,11,72.94,2.69
1,1,34.3,10,71.82,2.41
1,1,35.6,12,74.02,2.48
1,2,33.5,2,60.5,2.35
1,2,35.1,2,61.22,2.64
1,2,32.9,3,59.8,2.51
1,3,36.7,6,71.3,2.55
1,3,37.2,5,72.1,2.63
1,3,36.3,6,70.52,2.49
1,4,34.8,9,72.3,2.52
1,4,35.1,9,71.18,2.55
1,4,34.5,10,73.44,2.49
2,1,39.1,11,72.94,2.69
2,1,34.3,10,71.82,2.41
2,1,35.6,12,74.02,2.48
2,2,45.8,12,74.07,2.96
2,2,37.3,11,74.56,2.72
2,2,34.2,11,73.55,2.44
2,3,38.9,14,69.69,2.63
2,3,37.5,12,68.76,2.54
2,3,39.1,11,70.61,2.65
2,4,44.9,8,83.01,3.19
2,4,38.3,7,82.98,2.87
2,4,35.6,8,83.05,2.64
3,1,39.1,11,72.94,2.69
3,1,34.3,10,71.82,2.41
3,1,35.6,12,74.02,2.48
3,2,37.4,14,83.6,2.75
3,2,38.1,11,83.92,2.71
3,2,36.7,13,83.28,2.82
3,3,39.9,3,78.84,2.79
3,3,37.2,3,81.02,2.63
3,3,38.4,4,76.68,2.88
3,4,36.8,16,68.72,2.58
3,4,37.2,15,69.12,2.61
3,4,35.3,15,68.76,2.49
