Plantpart,Inclusionlevel,PCV,Platelet,WBC,RBC
1,1,36.5,4,75.9,2.63
1,1,35.3,3,74.22,2.49
1,1,34.7,4,76.95,2.36
1,2,34.3,1,66.99,2.46
1,2,33.7,1,67.28,2.37
1,2,32.1,2,65.84,2.3
1,3,36.7,8,74.57,2.62
1,3,32.3,6,76.24,2.35
1,3,33.9,7,73.12,2.39
1,4,43.7,4,78.79,3.1
1,4,35.8,4,77.45,2.52
1,4,33.3,3,81.02,2.34
2,1,36.5,4,75.9,2.63
2,1,35.3,3,74.22,2.49
2,1,34.7,4,76.95,2.36
2,2,42.8,3,81.82,3
2,2,37.3,3,82.42,2.76
2,2,33.7,2,80.54,2.35
2,3,35,1,77.57,2.71
2,3,34.7,2,76.62,2.67
2,3,33.4,1,79.04,2.49
2,4,31,4,57.05,2.24
2,4,31.8,3,56.46,2.18
2,4,30.3,3,58.92,2.27
3,1,36.5,4,75.9,2.63
3,1,35.3,3,74.22,2.49
3,1,34.7,4,76.95,2.36
3,2,39.3,3,93.22,3.12
3,2,38.5,2,93.88,3.04
3,2,36.7,3,92.92,2.78
3,3,35.7,2,71.32,2.59
3,3,36.2,1,73.42,2.64
3,3,37.8,2,69.82,2.76
3,4,34.4,6,69.54,2.54
3,4,35.6,4,71.24,2.61
3,4,36.3,6,70.36,2.66
